datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2021-03-26 23:00:00,1616799600.0,2021-03-26 23:00:00,BTC/USDT,54379.6,55123.0,54298.07,55030.0,10790.076,590670160.62621,121529
2021-03-27 00:00:00,1616803200.0,2021-03-27 00:00:00,BTC/USDT,55030.0,55555.55,54729.58,54766.38,19648.787,1085524116.34901,201846
2021-03-27 01:00:00,1616806800.0,2021-03-27 01:00:00,BTC/USDT,54766.48,54989.91,54560.16,54705.82,9012.044,493844251.54105,94647
2021-03-27 02:00:00,1616810400.0,2021-03-27 02:00:00,BTC/USDT,54701.71,54898.37,54500.0,54747.6,5873.787,321583538.64118,71523
2021-03-27 03:00:00,1616814000.0,2021-03-27 03:00:00,BTC/USDT,54747.61,54830.0,54564.88,54761.83,4928.856,269618180.95178,57818
2021-03-27 04:00:00,1616817600.0,2021-03-27 04:00:00,BTC/USDT,54761.71,55256.99,54660.9,54961.23,8958.192,492750117.4067,101671
2021-03-27 05:00:00,1616821200.0,2021-03-27 05:00:00,BTC/USDT,54961.23,55414.77,54707.53,55189.53,9095.312,500703547.32184,99323
2021-03-27 06:00:00,1616824800.0,2021-03-27 06:00:00,BTC/USDT,55189.53,55282.43,54938.0,55027.86,5765.813,317830956.31821,70890
2021-03-27 07:00:00,1616828400.0,2021-03-27 07:00:00,BTC/USDT,55027.87,55100.0,54740.67,54966.6,6751.043,370808777.15202,83752
2021-03-27 08:00:00,1616832000.0,2021-03-27 08:00:00,BTC/USDT,54962.1,55179.0,54656.11,54945.19,8740.283,479888558.23503,102211
2021-03-27 09:00:00,1616835600.0,2021-03-27 09:00:00,BTC/USDT,54945.19,55050.0,54810.0,55048.47,4863.489,267114873.24489,65159
2021-03-27 10:00:00,1616839200.0,2021-03-27 10:00:00,BTC/USDT,55048.49,55134.54,54688.0,54706.48,7022.722,385567729.33741,86475
2021-03-27 11:00:00,1616842800.0,2021-03-27 11:00:00,BTC/USDT,54708.0,54849.0,54327.93,54480.01,14345.024,782737123.40472,142934
