datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2020-03-29 04:00:00,1585454400.0,2020-03-29 04-AM,BTC/USDT,6202.95,6213.5,6185.09,6203.0,545.75,3384057.96,
2020-03-29 05:00:00,1585458000.0,2020-03-29 05-AM,BTC/USDT,6203.0,6203.0,6145.28,6146.71,1510.07,9326050.45,
2020-03-29 06:00:00,1585461600.0,2020-03-29 06-AM,BTC/USDT,6146.71,6165.94,6131.0,6152.82,1260.16,7752976.09,
2020-03-29 07:00:00,1585465200.0,2020-03-29 07-AM,BTC/USDT,6152.82,6172.09,6116.0,6153.9,2017.5,12391180.16,
2020-03-29 08:00:00,1585468800.0,2020-03-29 08-AM,BTC/USDT,6153.9,6154.27,6093.6,6132.4,2850.42,17427296.81,
2020-03-29 09:00:00,1585472400.0,2020-03-29 09-AM,BTC/USDT,6132.4,6134.5,6082.6,6088.37,1932.69,11807164.13,
2020-03-29 10:00:00,1585476000.0,2020-03-29 10-AM,BTC/USDT,6088.37,6210.0,6086.0,6171.09,3647.42,22392933.44,
2020-03-29 11:00:00,1585479600.0,2020-03-29 11-AM,BTC/USDT,6171.09,6191.8,6131.44,6138.35,3247.24,19987493.5,
2020-03-29 12:00:00,1585483200.0,2020-03-29 12-PM,BTC/USDT,6138.35,6155.0,6067.6,6122.16,3604.14,22013996.13,
2020-03-29 13:00:00,1585486800.0,2020-03-29 01-PM,BTC/USDT,6122.16,6139.4,6096.0,6123.46,2004.58,12258609.5,
2020-03-29 14:00:00,1585490400.0,2020-03-29 02-PM,BTC/USDT,6123.46,6150.0,6109.0,6142.89,1760.01,10793753.27,
2020-03-29 15:00:00,1585494000.0,2020-03-29 03-PM,BTC/USDT,6142.89,6147.0,6115.62,6129.79,1560.81,9566062.56,
2020-03-29 16:00:00,1585497600.0,2020-03-29 04-PM,BTC/USDT,6129.79,6164.94,6060.0,6085.36,4580.91,27972505.3,
2020-03-29 17:00:00,1585501200.0,2020-03-29 05-PM,BTC/USDT,6085.36,6120.0,6060.0,6103.78,2388.25,14546045.13,
2020-03-29 18:00:00,1585504800.0,2020-03-29 06-PM,BTC/USDT,6103.78,6103.96,6060.0,6063.79,1973.73,12012404.93,
2020-03-29 19:00:00,1585508400.0,2020-03-29 07-PM,BTC/USDT,6063.79,6090.91,5885.47,5905.29,10811.25,64476836.98,
2020-03-29 20:00:00,1585512000.0,2020-03-29 08-PM,BTC/USDT,5905.29,5963.93,5866.56,5947.83,4936.3,29195629.6,
2020-03-29 21:00:00,1585515600.0,2020-03-29 09-PM,BTC/USDT,5947.83,5951.09,5892.98,5895.2,2103.46,12445900.63,
2020-03-29 22:00:00,1585519200.0,2020-03-29 10-PM,BTC/USDT,5895.2,5944.12,5875.0,5918.24,2892.43,17108212.74,
2020-03-29 23:00:00,1585522800.0,2020-03-29 11-PM,BTC/USDT,5918.24,5934.14,5875.0,5881.42,2884.55,17039758.52,
2020-03-30 00:00:00,1585526400.0,2020-03-30 12-AM,BTC/USDT,5881.42,5920.0,5857.76,5902.02,3713.49,21880722.34,
2020-03-30 01:00:00,1585530000.0,2020-03-30 01-AM,BTC/USDT,5902.02,5947.18,5893.93,5940.22,2311.79,13698327.44,
2020-03-30 02:00:00,1585533600.0,2020-03-30 02-AM,BTC/USDT,5940.22,6028.83,5940.0,5987.5,4945.88,29639714.55,
2020-03-30 03:00:00,1585537200.0,2020-03-30 03-AM,BTC/USDT,5987.5,6010.17,5978.74,6009.09,2319.46,13904357.1,
2020-03-30 04:00:00,1585540800.0,2020-03-30 04-AM,BTC/USDT,6009.09,6044.16,5991.04,6034.99,2532.22,15248786.09,
2020-03-30 05:00:00,1585544400.0,2020-03-30 05-AM,BTC/USDT,6034.99,6240.0,6034.99,6202.98,10979.19,67822122.41,
2020-03-30 06:00:00,1585548000.0,2020-03-30 06-AM,BTC/USDT,6202.98,6248.66,6172.88,6217.05,4909.32,30475354.97,
2020-03-30 07:00:00,1585551600.0,2020-03-30 07-AM,BTC/USDT,6217.05,6330.01,6215.0,6242.69,8231.16,51605246.3,
2020-03-30 08:00:00,1585555200.0,2020-03-30 08-AM,BTC/USDT,6242.69,6297.14,6230.24,6271.25,4817.3,30179129.57,
2020-03-30 09:00:00,1585558800.0,2020-03-30 09-AM,BTC/USDT,6271.25,6281.72,6239.14,6249.45,3029.08,18968311.82,
2020-03-30 10:00:00,1585562400.0,2020-03-30 10-AM,BTC/USDT,6249.45,6313.31,6247.74,6277.46,4667.99,29298685.38,
2020-03-30 11:00:00,1585566000.0,2020-03-30 11-AM,BTC/USDT,6277.46,6395.0,6265.94,6355.56,6916.55,43837232.22,
2020-03-30 12:00:00,1585569600.0,2020-03-30 12-PM,BTC/USDT,6355.56,6379.0,6278.23,6302.75,5453.86,34501076.16,
2020-03-30 13:00:00,1585573200.0,2020-03-30 01-PM,BTC/USDT,6302.75,6346.0,6300.44,6302.53,3327.12,21030391.67,
2020-03-30 14:00:00,1585576800.0,2020-03-30 02-PM,BTC/USDT,6302.53,6337.42,6260.62,6326.27,4541.95,28639759.41,
2020-03-30 15:00:00,1585580400.0,2020-03-30 03-PM,BTC/USDT,6326.27,6444.0,6320.0,6343.58,8815.87,56145835.79,
2020-03-30 16:00:00,1585584000.0,2020-03-30 04-PM,BTC/USDT,6343.58,6389.72,6303.34,6377.88,4381.87,27825261.7,
2020-03-30 17:00:00,1585587600.0,2020-03-30 05-PM,BTC/USDT,6377.88,6384.98,6330.0,6350.46,2988.57,18981896.33,
2020-03-30 18:00:00,1585591200.0,2020-03-30 06-PM,BTC/USDT,6350.46,6374.99,6322.49,6363.01,2183.84,13868738.34,
2020-03-30 19:00:00,1585594800.0,2020-03-30 07-PM,BTC/USDT,6363.01,6402.41,6346.18,6366.74,2451.64,15609364.17,
2020-03-30 20:00:00,1585598400.0,2020-03-30 08-PM,BTC/USDT,6366.74,6500.0,6363.78,6463.3,7033.57,45313451.2,
2020-03-30 21:00:00,1585602000.0,2020-03-30 09-PM,BTC/USDT,6463.3,6564.33,6462.37,6528.47,6444.1,41972972.45,
2020-03-30 22:00:00,1585605600.0,2020-03-30 10-PM,BTC/USDT,6528.47,6599.0,6440.29,6458.0,6595.56,43037093.33,
2020-03-30 23:00:00,1585609200.0,2020-03-30 11-PM,BTC/USDT,6458.0,6483.54,6375.0,6394.38,5298.19,34085895.72,
2020-03-31 00:00:00,1585612800.0,2020-03-31 12-AM,BTC/USDT,6394.38,6469.28,6380.0,6439.55,3456.74,22258381.62,
2020-03-31 01:00:00,1585616400.0,2020-03-31 01-AM,BTC/USDT,6439.55,6515.0,6439.55,6514.07,2564.81,16621482.91,
2020-03-31 02:00:00,1585620000.0,2020-03-31 02-AM,BTC/USDT,6514.07,6523.23,6445.0,6449.66,2638.25,17108477.85,
2020-03-31 03:00:00,1585623600.0,2020-03-31 03-AM,BTC/USDT,6449.66,6480.0,6408.0,6439.47,3522.06,22691104.85,
2020-03-31 04:00:00,1585627200.0,2020-03-31 04-AM,BTC/USDT,6439.47,6465.0,6378.0,6398.93,3855.14,24729796.97,
2020-03-31 05:00:00,1585630800.0,2020-03-31 05-AM,BTC/USDT,6398.93,6453.0,6380.96,6415.6,2207.25,14154300.63,
2020-03-31 06:00:00,1585634400.0,2020-03-31 06-AM,BTC/USDT,6415.6,6471.56,6390.0,6471.56,3093.53,19908119.92,
2020-03-31 07:00:00,1585638000.0,2020-03-31 07-AM,BTC/USDT,6471.56,6473.68,6425.48,6445.09,2008.27,12946172.84,
2020-03-31 08:00:00,1585641600.0,2020-03-31 08-AM,BTC/USDT,6445.09,6505.5,6441.71,6493.93,3412.17,22099117.38,
2020-03-31 09:00:00,1585645200.0,2020-03-31 09-AM,BTC/USDT,6493.93,6499.0,6425.0,6440.04,3365.66,21756849.3,
2020-03-31 10:00:00,1585648800.0,2020-03-31 10-AM,BTC/USDT,6440.04,6441.3,6404.0,6431.32,2779.52,17849949.14,
2020-03-31 11:00:00,1585652400.0,2020-03-31 11-AM,BTC/USDT,6431.32,6432.29,6330.01,6387.19,5307.47,33851325.81,
